epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.713,2.26538,5.18694,2.0135,0,0,0,0,1.32085,5.28848,1.35312,7.326e-05,7.326e-05,7.326e-05
2,211.797,1.41779,4.70989,1.3606,0,0,0,0,0.98651,4.94539,1.05218,0.000146883,0.000146883,0.000146883
3,312.033,1.29412,4.43922,1.28927,0.05197,0.79861,0.13341,0.09853,0.95461,4.75785,1.0534,0.000217473,0.000217473,0.000217473
4,419.95,1.26494,4.20021,1.28976,0.11816,0.80903,0.3354,0.23072,1.01458,4.48596,1.10651,0.00028503,0.00028503,0.00028503
5,528.499,1.28832,3.93159,1.30045,0.59911,0.33825,0.44655,0.32916,1.06855,4.26237,1.13381,0.000306626,0.000306626,0.000306626
6,636.161,1.28658,3.55893,1.29246,0.60068,0.56091,0.6046,0.44846,1.01422,3.90457,1.16413,0.000300033,0.000300033,0.000300033
7,750.692,1.31916,3.40924,1.31288,0.5849,0.61222,0.67587,0.44728,1.18609,3.74562,1.21289,0.00029344,0.00029344,0.00029344
8,863.223,1.32191,3.26582,1.29685,0.37574,0.64889,0.70882,0.51928,1.13447,3.42819,1.19375,0.000286846,0.000286846,0.000286846
9,979.34,1.29866,3.03906,1.28575,0.44903,0.59096,0.6777,0.51566,1.00078,3.47727,1.12169,0.000280253,0.000280253,0.000280253
10,1092.78,1.24542,2.83879,1.26856,0.59962,0.75602,0.79554,0.58242,1.01715,2.92346,1.13831,0.000273659,0.000273659,0.000273659
11,1210.99,1.23997,2.6466,1.25137,0.65754,0.84213,0.92117,0.69245,1.10691,2.82149,1.20958,0.000267066,0.000267066,0.000267066
12,1328.15,1.19709,2.58936,1.24335,0.75868,0.77346,0.943,0.66598,1.26914,2.79864,1.21659,0.000260473,0.000260473,0.000260473
13,1484.77,1.23427,2.44312,1.22731,0.63901,0.91685,0.98256,0.74431,1.0188,2.50212,1.09449,0.000253879,0.000253879,0.000253879
14,1614.77,1.2158,2.37137,1.24402,0.75252,0.8903,0.995,0.75992,0.98788,2.27514,1.127,0.000247286,0.000247286,0.000247286
15,1739.04,1.19119,2.25886,1.19442,0.73742,0.86475,0.97561,0.75903,0.95905,2.24267,1.08498,0.000240692,0.000240692,0.000240692
16,1859.22,1.16371,2.19355,1.17883,0.81718,0.88526,0.98253,0.76358,1.01476,2.0999,1.13726,0.000234099,0.000234099,0.000234099
17,1980.78,1.13597,2.0564,1.19059,0.81421,0.92331,0.98806,0.7619,1.05804,2.03792,1.17148,0.000227506,0.000227506,0.000227506
18,2103.39,1.12873,2.0206,1.19539,0.71971,0.94692,0.96906,0.7374,1.00573,2.00439,1.10106,0.000220912,0.000220912,0.000220912
19,2215.16,1.13889,1.93148,1.18848,0.81042,0.97199,0.995,0.73631,1.11088,2.0395,1.1418,0.000214319,0.000214319,0.000214319
20,2318.97,1.14719,1.92551,1.19711,0.85412,0.96777,0.995,0.7652,1.03996,1.86385,1.1253,0.000207725,0.000207725,0.000207725
21,2419.66,1.12267,1.84783,1.17293,0.8241,0.94535,0.98806,0.78327,0.94436,1.75069,1.09182,0.000201132,0.000201132,0.000201132
22,2520.27,1.15719,1.91871,1.20476,0.87903,0.93802,0.995,0.75792,1.07698,1.81853,1.13491,0.000194539,0.000194539,0.000194539
23,2621.3,1.11289,1.79035,1.17028,0.87283,0.95329,0.995,0.768,1.01127,1.74898,1.12111,0.000187945,0.000187945,0.000187945
24,2722.87,1.09201,1.79033,1.16685,0.90629,0.98157,0.995,0.77845,1.02848,1.64195,1.13285,0.000181352,0.000181352,0.000181352
25,2824.2,1.10755,1.68585,1.16425,0.89053,0.99093,0.995,0.78544,0.98958,1.59478,1.11293,0.000174758,0.000174758,0.000174758
26,2925.65,1.14223,1.69641,1.17376,0.91978,0.97314,0.995,0.78364,0.97741,1.62798,1.08255,0.000168165,0.000168165,0.000168165
27,3026.76,1.11748,1.70728,1.17389,0.89351,0.98713,0.995,0.72221,1.22194,1.71443,1.20547,0.000161572,0.000161572,0.000161572
28,3126.42,1.07978,1.70281,1.16473,0.95059,0.96863,0.995,0.80599,0.9231,1.47873,1.05382,0.000154978,0.000154978,0.000154978
29,3226.77,1.07025,1.59159,1.12552,0.95253,0.98538,0.995,0.76035,1.04373,1.46822,1.10131,0.000148385,0.000148385,0.000148385
30,3327.49,1.08613,1.61587,1.15428,0.94466,0.99195,0.995,0.79142,0.90888,1.44907,1.07443,0.000141791,0.000141791,0.000141791
31,3426.73,1.07991,1.62,1.1424,0.9373,0.98506,0.995,0.75358,1.11012,1.49604,1.17223,0.000135198,0.000135198,0.000135198
32,3531.12,1.08222,1.52891,1.14854,0.952,0.98801,0.995,0.78871,0.93036,1.44394,1.07497,0.000128605,0.000128605,0.000128605
33,3643.89,1.06512,1.58994,1.15171,0.91259,0.99952,0.995,0.7909,0.97928,1.40659,1.07736,0.000122011,0.000122011,0.000122011
34,3754.58,1.04048,1.52606,1.14459,0.93681,0.99704,0.995,0.78883,1.01137,1.40126,1.10617,0.000115418,0.000115418,0.000115418
35,3862.44,1.03065,1.44153,1.12752,0.95194,0.98671,0.995,0.80132,0.94723,1.37721,1.06133,0.000108824,0.000108824,0.000108824
36,3972.59,1.06426,1.44661,1.14506,0.93696,0.98219,0.995,0.77173,1.03392,1.41742,1.09807,0.000102231,0.000102231,0.000102231
37,4080.31,1.03368,1.43272,1.12987,0.93406,0.99766,0.995,0.79657,0.92317,1.35581,1.08208,9.56376e-05,9.56376e-05,9.56376e-05
38,4186.81,0.9907,1.41049,1.08845,0.93039,0.99353,0.995,0.79819,0.90382,1.35161,1.08005,8.90442e-05,8.90442e-05,8.90442e-05
39,4293.77,1.07462,1.39105,1.12571,0.87868,0.99758,0.995,0.80023,0.88161,1.32145,1.06689,8.24508e-05,8.24508e-05,8.24508e-05
40,4401.09,1.01602,1.35835,1.10613,0.92901,1,0.995,0.77078,1.00247,1.30355,1.08593,7.58574e-05,7.58574e-05,7.58574e-05
41,4516.95,0.95503,1.34895,1.13865,0.92334,1,0.995,0.8011,0.92786,1.27349,1.06365,6.9264e-05,6.9264e-05,6.9264e-05
42,4621.75,0.92259,1.33166,1.12209,0.92618,1,0.995,0.76184,1.04827,1.32939,1.11016,6.26706e-05,6.26706e-05,6.26706e-05
43,4726.78,0.90827,1.2896,1.10033,0.93266,1,0.995,0.80106,0.89703,1.2621,1.03881,5.60772e-05,5.60772e-05,5.60772e-05
44,4830.34,0.90076,1.28191,1.10356,0.94733,1,0.995,0.78917,0.95315,1.27025,1.05018,4.94838e-05,4.94838e-05,4.94838e-05
45,4940.39,0.92424,1.28295,1.10549,0.94273,0.99887,0.995,0.79343,0.92207,1.25596,1.04113,4.28904e-05,4.28904e-05,4.28904e-05
46,5048.42,0.91673,1.27442,1.10748,0.94594,0.9906,0.995,0.8077,0.91648,1.24519,1.03878,3.6297e-05,3.6297e-05,3.6297e-05
47,5155.73,0.9021,1.25411,1.10889,0.94276,0.98746,0.995,0.804,0.87867,1.22677,1.02814,2.97036e-05,2.97036e-05,2.97036e-05
48,5263.16,0.89067,1.23369,1.10199,0.94878,0.98998,0.995,0.80258,0.89155,1.22234,1.03335,2.31102e-05,2.31102e-05,2.31102e-05
49,5371.39,0.90199,1.22943,1.10852,0.94361,0.99633,0.995,0.80365,0.88638,1.21917,1.03515,1.65168e-05,1.65168e-05,1.65168e-05
50,5475.71,0.88494,1.22337,1.07316,0.94214,1,0.995,0.79889,0.89878,1.22088,1.04356,9.9234e-06,9.9234e-06,9.9234e-06
